"q15","q16","y3","y10","q14","Class"
"Somewhat agree","Strongly agree","Stayed about the same","Significantly improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Somewhat agree","Strongly agree","Somewhat improved","Significantly improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Not a barrier for me","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat improved","Stayed about the same","more.productivity"
"Somewhat disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Significantly worsened","Stayed about the same","Somewhat worsened","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat disagree","Somewhat worsened","Somewhat worsened","Somewhat improved","more.productivity"
"Somewhat disagree","Somewhat disagree","Stayed about the same","Somewhat worsened","Somewhat worsened","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Stayed about the same","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Not a barrier for me","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Significantly improved","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Somewhat improved","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Significantly improved","Significantly improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Stayed about the same","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Significantly worsened","Stayed about the same","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Significantly improved","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Somewhat worsened","Stayed about the same","Somewhat worsened","more.productivity"
"Somewhat agree","Neither agree nor disagree","Somewhat improved","Stayed about the same","Significantly improved","more.productivity"
"Somewhat agree","Neither agree nor disagree","Somewhat worsened","Stayed about the same","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Somewhat worsened","Somewhat improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Somewhat improved","Significantly improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Significantly improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Stayed about the same","Not a barrier for me","more.productivity"
"Somewhat disagree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Significantly worsened","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Somewhat agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Not a barrier for me","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Somewhat improved","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Somewhat improved","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Somewhat improved","Significantly improved","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Somewhat improved","Somewhat worsened","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Significantly improved","more.productivity"
